district_code,district_name,state_code
370,bargarh,21
371,jharsuguda,21
372,sambalpur,21
373,debagarh,21
374,sundargarh,21
375,kendujhar,21
376,mayurbhanj,21
377,baleshwar,21
378,bhadrak,21
379,kendrapara,21
380,jagatsinghapur,21
381,cuttack,21
382,jajapur,21
383,dhenkanal,21
384,anugul,21
385,nayagarh,21
386,khordha,21
387,puri,21
388,ganjam,21
389,gajapati,21
390,kandhamal,21
391,baudh,21
392,subarnapur,21
393,balangir,21
394,nuapada,21
395,kalahandi,21
396,rayagada,21
397,nabarangapur,21
398,koraput,21
399,malkangiri,21
346,garhwa,20
347,chatra,20
348,kodarma,20
349,giridih,20
350,deoghar,20
351,godda,20
352,sahibganj,20
353,pakur,20
354,dhanbad,20
355,bokaro,20
356,lohardaga,20
357,purbi singhbhum,20
358,palamu,20
359,latehar,20
360,hazaribagh,20
361,ramgarh,20
362,dumka,20
363,jamtara,20
364,ranchi,20
365,khunti,20
366,gumla,20
367,simdega,20
368,pashchimi singhbhum,20
369,saraikela-kharsawan,20
635,puducherry,34
637,karaikal,34
468,kachchh,24
469,banas kantha,24
470,patan,24
471,mahesana,24
472,sabar kantha,24
473,gandhinagar,24
474,ahmadabad,24
475,surendranagar,24
476,rajkot,24
477,jamnagar,24
478,porbandar,24
479,junagadh,24
480,amreli,24
481,bhavnagar,24
482,anand,24
483,kheda,24
484,panch mahals,24
485,dohad,24
486,vadodara,24
487,narmada,24
488,bharuch,24
489,the dangs,24
490,navsari,24
491,valsad,24
492,surat,24
493,tapi,24
23,chamba,2
24,kangra,2
25,lahul & spiti,2
26,kullu,2
27,mandi,2
28,hamirpur,2
29,una,2
30,bilaspur,2
31,solan,2
32,sirmaur,2
33,shimla,2
34,kinnaur,2
99,ganganagar,8
100,hanumangarh,8
101,bikaner,8
102,churu,8
103,jhunjhunun,8
104,alwar,8
105,bharatpur,8
106,dhaulpur,8
107,karauli,8
108,sawai madhopur,8
109,dausa,8
110,jaipur,8
111,sikar,8
112,nagaur,8
113,jodhpur,8
114,jaisalmer,8
115,barmer,8
116,jalor,8
117,sirohi,8
118,pali,8
119,ajmer,8
120,tonk,8
121,bundi,8
122,bhilwara,8
123,rajsamand,8
124,dungarpur,8
125,banswara,8
126,chittaurgarh,8
127,kota,8
128,baran,8
129,jhalawar,8
130,udaipur,8
131,pratapgarh,8
245,tawang,12
246,west kameng,12
247,east kameng,12
248,papum pare,12
249,upper subansiri,12
250,west siang,12
251,east siang,12
252,upper siang,12
253,changlang,12
254,tirap,12
255,lower subansiri,12
256,kurung kumey,12
257,dibang valley,12
258,lower dibang valley,12
259,lohit,12
260,anjaw,12
638,nicobars,35
639,north  & middle andaman,35
640,south andaman,35
588,kasaragod,32
589,kannur,32
590,wayanad,32
591,kozhikode,32
592,malappuram,32
593,palakkad,32
594,thrissur,32
595,ernakulam,32
596,idukki,32
597,kottayam,32
598,alappuzha,32
599,pathanamthitta,32
600,kollam,32
601,thiruvananthapuram,32
132,saharanpur,9
133,muzaffarnagar,9
134,bijnor,9
135,moradabad,9
136,rampur,9
137,jyotiba phule nagar,9
138,meerut,9
139,baghpat,9
140,ghaziabad,9
141,gautam buddha nagar,9
142,bulandshahr,9
143,aligarh,9
144,mahamaya nagar,9
145,mathura,9
146,agra,9
147,firozabad,9
148,mainpuri,9
149,budaun,9
150,bareilly,9
151,pilibhit,9
152,shahjahanpur,9
153,kheri,9
154,sitapur,9
155,hardoi,9
156,unnao,9
157,lucknow,9
158,rae bareli,9
159,farrukhabad,9
160,kannauj,9
161,etawah,9
162,auraiya,9
163,kanpur dehat,9
164,kanpur nagar,9
165,jalaun,9
166,jhansi,9
167,lalitpur,9
168,hamirpur,9
169,mahoba,9
170,banda,9
171,chitrakoot,9
172,fatehpur,9
173,pratapgarh,9
174,kaushambi,9
175,allahabad,9
176,bara banki,9
177,faizabad,9
178,ambedkar nagar,9
179,sultanpur,9
180,bahraich,9
181,shrawasti,9
182,balrampur,9
183,gonda,9
184,siddharthnagar,9
185,basti,9
186,sant kabir nagar,9
187,mahrajganj,9
188,gorakhpur,9
189,kushinagar,9
190,deoria,9
191,azamgarh,9
192,mau,9
193,ballia,9
194,jaunpur,9
195,ghazipur,9
196,chandauli,9
197,varanasi,9
198,sant ravidas nagar (bhadohi),9
199,mirzapur,9
200,sonbhadra,9
201,etah,9
202,kanshiram nagar,9
496,dadra & nagar haveli,26
327,darjiling,19
328,jalpaiguri,19
329,koch bihar,19
330,uttar dinajpur,19
331,dakshin dinajpur,19
332,maldah,19
333,murshidabad,19
334,birbhum,19
335,barddhaman,19
336,nadia,19
337,north twenty four parganas,19
338,hugli,19
339,bankura,19
340,puruliya,19
341,haora,19
343,south twenty four parganas,19
344,paschim medinipur,19
345,purba medinipur,19
69,panchkula,6
70,ambala,6
