sub_district_code,sub_district_name,district_code
2755,paikamal,370
2756,jharbandha,370
2757,padmapur,370
2758,burden,370
2759,gaisilet,370
2760,melchhamunda,370
2761,sohela,370
2762,bijepur,370
2763,barapali,370
2764,bheden,370
2765,bargarh,370
2766,bargarh sadar,370
2767,bhatli,370
2768,ambabhona,370
2769,attabira,370
2770,rengali,371
2771,lakhanpur,371
2772,belpahar,371
2773,banaharapali,371
2774,orient,371
2775,brajarajnagar,371
2776,jharsuguda,371
2777,badmal,371
2778,laikera,371
2779,kolabira,371
2780,govindpur,372
2781,mahulpalli,372
2782,kochinda,372
2783,katarbaga,372
2784,thelkoloi,372
2785,rengali,372
2786,sasan,372
2787,hirakud,372
2788,burla,372
2789,dhanupali,372
2790,ainthapali,372
2791,sadar,372
2792,jamankira,372
2793,kisinda,372
2794,jujomura,372
2795,dhama,372
2796,charamal,372
2797,rairakhol,372
2798,naktideul,372
2799,sambalpur (m),372
2800,debagarh,373
2801,barkot,373
2802,kundheigola,373
2803,reamal,373
2804,hemgir,374
2805,lephripara,374
2806,bhasma,374
2807,dharuadihi,374
2808,sundargarh town,374
2809,sundargarh,374
2810,kinjirkela,374
2811,talasara,374
2812,baragaon,374
2813,kutra,374
2814,rajagangapur,374
2815,raiboga,374
2816,biramitrapur,374
2817,hatibari,374
2818,bisra,374
2819,bondamunda,374
2820,brahmani tarang,374
2821,raghunathapali,374
2822,tangarapali,374
2823,lathikata,374
2824,chandiposh,374
2825,kamarposh balang,374
2826,koida,374
2827,lahunipara,374
2828,gurundia,374
2829,tikaetpali,374
2830,banei,374
2831,mahulapada,374
2832,raurkela (m),374
2833,raurkela (its),374
2834,barbil,375
2835,bolani,375
2836,rugudi,375
2837,joda,375
2838,bamebari,375
2839,champua,375
2840,jhumpura,375
2841,baria,375
2842,turumunga,375
2843,patana,375
2844,kendujhar sadar,375
2845,kendujhar town,375
2846,nayakote,375
2847,kanjipani,375
2848,telkoi,375
2849,pandapara,375
2850,ghatgaon,375
2851,harichandanpur,375
2852,daitari,375
2853,ghasipura,375
2854,anandapur,375
2855,soso,375
2856,nandipada,375
2857,sainkul,375
2858,tiring,376
2859,bahalda,376
2860,jamda,376
2861,rairangpur town,376
2862,gorumahisani,376
2863,jharpokharia,376
2864,bisoi,376
2865,rairangpur,376
2866,badampahar,376
2867,jashipur,376
2868,raruan,376
2869,ghagarbeda,376
2870,karanjia,376
2871,thakurmunda,376
2872,baripada sadar,376
2873,baripada town,376
